Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,100nF,
C2,0805,1,10uF,
C4,0805,1,0.1uF,
D1,0805,1,1N4004,
D10,0805,1,Switch Status LED,
"D7, D8, D9",LED_D5.0mm,3,IR LED,
J1,PinHeader_1x05_P1.00mm_Vertical,1,Conn_01x05,
J2,PinHeader_1x02_P1.00mm_Vertical,1,Conn_01x02,
J3,PinHeader_1x03_P1.00mm_Vertical,1,Conn_01x03,
J4,GCT_USB4125-GF-A_REVA2,1,USB4125-GF-A_REVA2,
L1,PinHeader_1x02_P2.54mm_Vertical,1,Solenoid,
Q1,TO-220_STM,1,TIP120,
"R1, R10, R3",0805,3,1k,
"R11, R12, R15, R16, R17, R6, R7, R8, R9",0805,9,0,
"R13, R14, R5",0805,3,220,
"R2, R4",0805,2,5.1k,
SW2,PinHeader_1x02_P2.54mm_Vertical,1,SW_Push,
TP10,TestPoint_Pad_1.5x1.5mm,1,VUSB_TP,
TP11,TestPoint_Pad_1.5x1.5mm,1,GND_TP,
TP12,TestPoint_Pad_1.5x1.5mm,1,3V3_TP,
TP13,TestPoint_Pad_1.5x1.5mm,1,MOSI_TP,
TP14,TestPoint_Pad_1.5x1.5mm,1,Switch_TP,
TP15,TestPoint_Pad_1.5x1.5mm,1,VLED_TP,
TP16,TestPoint_Pad_1.5x1.5mm,1,GND_LED_TP,
TP17,TestPoint_Pad_1.5x1.5mm,1,Transistor_Collector_TP,
TP2,TestPoint_Pad_1.5x1.5mm,1,Transistor_Base_TP,
TP4,TestPoint_Pad_1.5x1.5mm,1,MISO_TP,
TP5,TestPoint_Pad_1.5x1.5mm,1,SDA_TP,
TP6,TestPoint_Pad_1.5x1.5mm,1,SCL_TP,
TP7,TestPoint_Pad_1.5x1.5mm,1,CS1_TP,
TP8,TestPoint_Pad_1.5x1.5mm,1,CS2_TP,
TP9,TestPoint_Pad_1.5x1.5mm,1,SCK_TP,
U1,ESP32-CAM,1,ESP32-CAM,
U2,RASPBERRY_PI_PICO,1,RASPBERRY_PI_PICO,
U3,LGA_O32XTR_STM,1,LSM6DSO32XTR,
