Designator,Mid X,Mid Y,Rotation,Layer
C1,63.7,-64.4125,180.0,top
C2,116.0,-81.0,270.0,top
C3,65.7,-62.4125,180.0,top
C4,118.25,-81.0,270.0,top
D1,65.5,-80.25,270.0,top
D10,102.5,-80.8,180.0,top
D7,95.005,-91.0,180.0,top
D8,101.795,-91.0,180.0,top
D9,108.505,-91.0,180.0,top
J1,101.5,-78.6,90.0,top
J2,90.5,-95.75,0.0,top
J3,60.6,-60.4,270.0,top
J4,55.0,-93.0,270.0,top
JP1,91.5,-79.5,90.0,top
L1,60.98,-80.25,270.0,top
Q1,72.5,-80.25,180.0,top
R1,86.25,-80.0,270.0,top
R10,108.75,-80.0,0.0,top
R11,128.0,-73.05,90.0,top
R12,125.0,-73.0,90.0,top
R13,103.0,-96.0,270.0,top
R14,96.25,-96.0,270.0,top
R15,122.75,-73.0,90.0,top
R16,120.5,-73.0,90.0,top
R17,105.75,-79.25,270.0,top
R2,63.25,-93.1625,270.0,top
R3,99.6,-81.8,90.0,top
R4,65.25,-93.1625,270.0,top
R5,109.75,-96.0,270.0,top
R6,71.0,-69.4125,270.0,top
R7,69.0,-69.4125,270.0,top
R8,66.0,-69.4125,270.0,top
R9,64.0,-69.4125,270.0,top
SW2,96.5,-79.73,180.0,top
TP10,59.5,-54.0,0.0,bottom
TP11,54.25,-66.75,0.0,bottom
TP12,69.75,-54.0,0.0,bottom
TP13,76.5,-67.5,0.0,bottom
TP14,95.0,-72.75,0.0,bottom
TP15,68.3,-92.7,0.0,bottom
TP16,68.3,-95.9,0.0,bottom
TP17,80.0,-82.0,0.0,bottom
TP2,77.5,-79.75,0.0,bottom
TP4,73.75,-67.5,0.0,bottom
TP5,138.0,-78.0,0.0,bottom
TP6,119.5,-51.5,0.0,bottom
TP7,59.5,-69.25,0.0,bottom
TP8,79.0,-71.25,0.0,bottom
TP9,86.0,-71.0,0.0,bottom
U1,125.76,-66.43,270.0,top
U2,83.65,-66.36,90.0,top
U3,67.3811,-65.062311,180.0,top
